Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3,3,5,vacant,1185,dhaka,"৳11,000,000","Lake Circus Road, Kalabagan"
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3,3,4,vacant,1610,dhaka,"৳13,100,000","Block H, Bashundhara R-A"
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4,4,7,vacant,2180,dhaka,"৳17,500,000","Block J, Bashundhara R-A"
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4,4,2,vacant,3650,dhaka,"৳78,000,000","Gulshan 2, Gulshan"
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",,,9,vacant,5000,dhaka,"৳110,000,000","Free School Street, Kathalbagan"
2700 Square Feet Apartment For Sale In Gulshan 1,3,3,3,vacant,2700,dhaka,"৳55,000,000","Gulshan 1, Gulshan"
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3,2,2,vacant,1175,dhaka,"৳8,300,000","Baitul Aman Housing Society, Adabor"
Flat For Sale In Mirpur Section 6 Near Mosque,2,2,1,vacant,650,dhaka,"৳3,100,000","Section 6, Mirpur"
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3,4,1,vacant,1331,dhaka,"৳16,000,000","Sector 4, Uttara"
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2,2,4,vacant,900,dhaka,"৳4,500,000","Nobodoy Housing Society, Mohammadpur"
950 Sq Ft Flat Featuring 3 Bedrooms For Sale In Malibagh,3,2,2,vacant,950,dhaka,"৳6,000,000","Gulbag, Malibagh"
"Start Residing In This 1230 Sq Ft, Properly Developed Apartment For Sale, In West Shewrapara",2,2,6,vacant,1230,dhaka,"৳5,000,000","West Shewrapara, Mirpur"
"1150 Sq Ft Apartment With Serene Views Is Up For Sale In Middle Monipur, Mirpur",3,2,7,vacant,1150,dhaka,"৳6,500,000","Middle Monipur, Mirpur"
"Make Sure To Buy This 1150 Sq Ft Apartment, If You Are Looking For A Permanent Residence In Middle Monipur",3,2,7,vacant,1150,dhaka,"৳6,500,000","Middle Monipur, Mirpur"
1150 Sq.ft Apartment Is Available For Sale In West Manikdi Which Is Tailored To Your Highest Standards,3,3,7,vacant,1150,dhaka,"৳6,700,000","Manikdi, Cantonment"
"Plan Your Urban Life In This 1250 Sq Ft Flat For Sale In Mirpur, East Kazipara",3,3,2,vacant,1250,dhaka,"৳7,600,000","East Kazipara, Mirpur"
"Get Ready To Buy This Great Home Of 860 sft In Mirpur, Rupnagar R/a",2,2,2,vacant,860,dhaka,"৳4,900,000","Rupnagar R/A, Mirpur"
1050 Square Feet Residential Apartment For Sale At West Kazipara Nearby Baish Bari Masjid,3,2,1,vacant,1050,dhaka,"৳6,200,000","West Kazipara, Mirpur"
"Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara, Sector 4",4,4,10,vacant,3355,dhaka,"৳39,000,000","Sector 4, Uttara"
Buy This 1375 Sq Ft Apartment In Mirpur-6,3,3,5,vacant,1375,dhaka,"৳12,100,000","Section 6, Mirpur"
Full Commercial Building With 30.55 Katha Land Is Up For Sale In Hemayetpur,,,4,vacant,21500,dhaka,"৳220,000,000","Hemayetpur, Savar"
Worthy 900 SQ FT residence is for sale at North Pirerbag,3,2,2,vacant,900,dhaka,"৳5,000,000","Pirerbag, Mirpur"
"This 1008 Sq.Ft Convenient Flat Is For Sale In Shadheenata Sharani, Mirpur 10.",3,3,5,vacant,1008,dhaka,"৳4,838,400","Section 10, Mirpur"
For Selling Purpose This 1055 Sq.Ft Flat Is Now Vacant In Army Housing Society Road-Moushair .,3,2,3,vacant,1055,dhaka,"৳5,300,000","Moushair, Dakshin Khan"
Grab This 1800 Sq.Ft Apartment Up For Sale At Bashundhara R-A Beside Viquarunnisa Noon School and College,3,3,5,vacant,1800,dhaka,"৳16,000,000","Block F, Bashundhara R-A"
1250 Square Feet-3 Bedroom Residential Apartment For Sale Close To East Ahmed Nagar Baitul Ekram Masjid.,3,3,2,vacant,1250,dhaka,"৳5,250,000","Ahmed Nagar, Mirpur"
A 2146 Sq. Ft Residential Building For Sale Is All Set For You To Settle In Dendabor.,8,4,,vacant,2146,dhaka,"৳10,500,000","Ashulia, Savar"
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3,2,9,vacant,900,dhaka,"৳2,900,000","Hemayetpur, Savar"
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2,2,6,vacant,1050,dhaka,"৳3,360,000","Radio Colony, Savar"
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3,3,2,vacant,1250,dhaka,"৳11,500,000","Block C, Bashundhara R-A"
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3,3,9,vacant,1675,dhaka,"৳9,712,500","Section 1, Mirpur"
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3,3,1,vacant,1300,dhaka,"৳7,500,000","Ahmed Nagar, Mirpur"
There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3,4,1,vacant,2787,dhaka,"৳29,000,000","Road No 12A, Dhanmondi"
5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4,4,9,vacant,5040,dhaka,"৳54,000,000","Block C, Bashundhara R-A"
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3,2,5,vacant,986,dhaka,"৳6,200,000","Sector 9, Uttara"
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2,2,5,vacant,920,dhaka,"৳3,300,000","South Chalabon, Dakshin Khan"
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3,3,1,vacant,1275,dhaka,"৳8,500,000","West Agargaon, Agargaon"
An Exemplary Flat For You Is Offered By Us Near To NCC Bank Limited,3,3,2,vacant,2290,dhaka,"৳22,500,000","Block B, Bashundhara R-A"
1400 Sq Ft Flat Is Available For Sale In Mirpur 12 Nearby City Bank,3,3,2,vacant,1400,dhaka,"৳7,800,000","Section 12, Mirpur"
A Reasonable Apartment Is Available For Sale At Mirpur-10,3,2,4,vacant,1075,dhaka,"৳5,500,000","Section 10, Mirpur"
"Nice Flat Can Be Found In Uttara For Sale, Near Friends Club Playground",3,3,1,vacant,1300,dhaka,"৳9,600,000","Sector 5, Uttara"
Ready Apartment For Sale At Ashkona Nearby Chad Jame Masjid,3,3,2,vacant,1135,dhaka,"৳7,500,000","Ashkona, Dakshin Khan"
"Nearly Finished Apartment Is Up For Sale In Mirpur Section 10, Near To Darland International School",2,2,2,vacant,855,dhaka,"৳4,702,500","Section 10, Mirpur"
"Convenient Flat Is Up For Sale In Rampura Nearby Rupali Bank Limited, Rampura Branch",3,3,2,vacant,1425,dhaka,"৳9,000,000","East Rampura, Rampura"
2380 Sq Ft Apartment For sale At Bashundhara R-A Nearby Playpen School Junior Section,3,4,4,vacant,2380,dhaka,"৳21,500,000","Block D, Bashundhara R-A"
"Set Up Your New Office In The Busiest Location Of West Rampura, An Open Space Is Prepared To Be Sale Nearby Rajdhani Ideal School &amp; College",,,5,vacant,2600,dhaka,"৳31,200,000","West Rampura, Rampura"
We Bring You A Beautiful And Distinct Flat Of 2000 Sq Ft For Sale In Baitul Aman Housing Society,4,4,4,vacant,2000,dhaka,"৳14,800,000","Baitul Aman Housing Society, Adabor"
Buy This 1600 Sq Ft Beautiful Apartment In Uttara-12,3,3,2,vacant,1600,dhaka,"৳14,000,000","Sector 12, Uttara"
Ready Flat Is Now For Sale In Mirpur Dohs Nearby Mirpur Dohs Central Mosque,4,4,3,vacant,2200,dhaka,"৳25,000,000","Mirpur DOHS, Mirpur"
3474 Square Feet Spacious Apartment For Sale In Uttara-3,4,4,8,vacant,3474,dhaka,"৳45,000,000","Sector 3, Uttara"
"1550 Sq Ft Nice Flat For Sale In Aftab Nagar, Block C",3,4,9,vacant,1550,dhaka,"৳15,000,000","Block C, Aftab Nagar"
850 Sq Ft Flat For Sale In South Badda,2,2,1,vacant,850,dhaka,"৳5,000,000","South Badda, Badda"
A Office Space Is Available For Sale Which Is Located On Uttara Nearby Zam Zam Tower.,,,6,vacant,2075,dhaka,"৳29,050,000","Sector 13, Uttara"
Nearly Finished 1380 Sq Ft Flat For Sale In Aftab Nagar,3,3,3,vacant,1380,dhaka,"৳9,500,000","Block E, Aftab Nagar"
"You Can Buy This Lovely Apartment Of 1350 Sq Ft For Live A Relaxed Life At Banasree, Block C",3,3,8,vacant,1350,dhaka,"৳11,300,000","Block C, Banasree"
1470 Sq Ft Flat Is For Sale In Mansurabad Housing Society Nearby Baitur Rahman Jame Mosque,3,3,2,vacant,1470,dhaka,"৳7,000,000","Mansurabad Housing Society, Adabor"
We are offering you a very spacious 1090 SQ FT flat for Sale in Mirpur near to Holy Crescent School,3,2,1,vacant,1090,dhaka,"৳5,500,000","West Shewrapara, Mirpur"
"1220 Sq Ft Flat For Sale In Banasree, Block G",3,2,7,vacant,1220,dhaka,"৳8,000,000","Block G, Banasree"
"Live Permanently In A 1550 Sq Ft Property, Which Is Up For Sale Located At Uttar Badda",3,3,2,vacant,1550,dhaka,"৳14,500,000","Uttar Badda, Badda"
Ideal 8.08 Katha Plot For Sale In Gulshan 1,,,,vacant,5824,dhaka,"৳300,000,000","Gulshan 1, Gulshan"
Reasonable 1654 Sq Ft Apartment For Sale In Uttara 18,3,4,5,vacant,1654,dhaka,"৳12,500,000","Sector 18, Uttara"
Flat Is Ready For Sale In East Kazipara Near To Bank Asia Agent Banking,3,2,2,vacant,975,dhaka,"৳4,000,000","East Kazipara, Mirpur"
740 Square Feet Residential Flat Is Ready To Sale At Middle Pirerbag,2,2,4,vacant,740,dhaka,"৳3,500,000","Pirerbag, Mirpur"
"1370 Sq Ft Apartment Is Available For Sale In Middle Badda, Adarsha Nagar",3,3,5,vacant,1370,dhaka,"৳9,200,000","Middle Badda, Badda"
